run_id,timestamp,backbone,pretrained,optimizer,learning_rate,batch_size,epochs,criterion,device,num_classes,train_size,val_size,total_params,trainable_params,augment,scheduler,weight_decay,early_stop,patience,min_delta,current_lr,freeze,loss,class_weight,epoch,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_epoch,target_val_acc,epoch_to_threshold,stopped_epoch
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 19:42:07,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,0.0001992114701314478,full,ce,True,1,2.0104878134761295,0.4175531914893617,1.6855180140199333,0.4956896551724138,0.4956896551724138,1,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 19:43:40,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,0.0001968583161128631,full,ce,True,2,1.0710028097139184,0.6733156028368794,1.3584960082481647,0.5905172413793104,0.5905172413793104,2,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 19:45:10,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,0.00019297764858882514,full,ce,True,3,0.7695318811328699,0.7522163120567376,1.199699878692627,0.5732758620689655,0.5905172413793104,2,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 19:46:39,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,0.00018763066800438636,full,ce,True,4,0.5858030386850344,0.8129432624113475,1.314240262426179,0.6206896551724138,0.6206896551724138,4,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 19:48:08,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,0.00018090169943749476,full,ce,True,5,0.49096158125721817,0.8439716312056738,1.1172203133846152,0.6336206896551724,0.6336206896551724,5,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 19:49:35,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,0.00017289686274214118,full,ce,True,6,0.30898201011174115,0.9086879432624113,1.121058044762447,0.6379310344827586,0.6379310344827586,6,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 19:51:04,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,0.000163742398974869,full,ce,True,7,0.2643833973094927,0.9277482269503546,1.1008875370025635,0.6594827586206896,0.6594827586206896,7,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 19:52:41,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,0.00015358267949789966,full,ce,True,8,0.20969183351976653,0.9419326241134751,1.1082669147129716,0.6681034482758621,0.6681034482758621,8,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 19:54:16,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,0.00014257792915650726,full,ce,True,9,0.1730325864561906,0.9472517730496454,1.140915299284047,0.6422413793103449,0.6681034482758621,8,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 19:55:52,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,0.00013090169943749474,full,ce,True,10,0.11585532118242683,0.9703014184397163,1.0339646288033189,0.6939655172413793,0.6939655172413793,10,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 19:57:27,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,0.00011873813145857248,full,ce,True,11,0.10423259112112065,0.9698581560283688,1.1104247076758023,0.6681034482758621,0.6939655172413793,10,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 19:59:02,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,0.00010627905195293135,full,ce,True,12,0.09260688576820894,0.9729609929078014,1.1691982602250988,0.6724137931034483,0.6939655172413793,10,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 20:00:37,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,9.372094804706867e-05,full,ce,True,13,0.0799983615676562,0.9765070921985816,1.1730628178037446,0.6681034482758621,0.6939655172413793,10,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 20:02:12,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,8.126186854142755e-05,full,ce,True,14,0.07143463054341627,0.9809397163120567,1.1878356070354068,0.6896551724137931,0.6939655172413793,10,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 20:03:47,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,6.90983005625053e-05,full,ce,True,15,0.05669185790028555,0.9822695035460993,1.2227064165575752,0.6767241379310345,0.6939655172413793,10,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 20:05:22,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,5.742207084349274e-05,full,ce,True,16,0.054456307665041996,0.9809397163120567,1.2250923493812824,0.6767241379310345,0.6939655172413793,10,0.48,1,
f:\CODE\Pytorch\plantdoc\A_highres448_rrc_resnet18_full_adamw_lr2e-4_ep25_augTrue_cosine_wd1e-4_bs32,2025-11-28 20:06:50,resnet18,True,AdamW,0.0002,32,25,CrossEntropyLoss,cuda,27,2256,232,11190363,11190363,True,cosine,0.0001,True,7,0.0,4.6417320502100316e-05,17,0.043620592960757563,0.9849290780141844,1.2189148787794442,0.6681034482758621,0.6939655172413793,10,0.48,1,17
